类型,编号,题名,引用路径,解析路径,存在,来源分类,证据文件
图,1-1,图1-1 本文技术路线图,figures/fig1_2_technical_route.svg,大论文初稿\figures\fig1_2_technical_route.svg,True,论文figures目录,大论文初稿\figures\fig1_2_technical_route.svg
图,2-1,图2-1 翼型管翅片散热器换热路径示意图,figures/fig2_1_chip_airfoil_heat_path.svg,大论文初稿\figures\fig2_1_chip_airfoil_heat_path.svg,True,论文figures目录,大论文初稿\figures\fig2_1_chip_airfoil_heat_path.svg
图,2-2,图2-2 翼型形状参数与阵列排布参数定义图,figures/fig2_3_parameter_definition.svg,大论文初稿\figures\fig2_3_parameter_definition.svg,True,论文figures目录,大论文初稿\figures\fig2_3_parameter_definition.svg
图,3-1,图3-1 二维翼型管阵列计算域示意图,figures/fig3_1_2d_domain.svg,大论文初稿\figures\fig3_1_2d_domain.svg,True,论文figures目录,大论文初稿\figures\fig3_1_2d_domain.svg
图,3-2,图3-2 二维模型整体网格划分图,figures/fig3_3_mesh_comsol.png,大论文初稿\figures\fig3_3_mesh_comsol.png,True,论文figures目录,大论文初稿\figures\fig3_3_mesh_comsol.png
图,3-3,图3-3 翼型近壁面局部加密网格图,figures/fig3_4_local_mesh_comsol.png,大论文初稿\figures\fig3_4_local_mesh_comsol.png,True,论文figures目录,大论文初稿\figures\fig3_4_local_mesh_comsol.png
图,3-4,图3-4 典型工况速度场云图,figures/fig3_7_velocity_field.png,大论文初稿\figures\fig3_7_velocity_field.png,True,论文figures目录,大论文初稿\figures\fig3_7_velocity_field.png
图,3-5,图3-5 典型工况温度场云图,figures/fig3_8_temperature_field.png,大论文初稿\figures\fig3_8_temperature_field.png,True,论文figures目录,大论文初稿\figures\fig3_8_temperature_field.png
图,3-6,图3-6 典型工况压力场云图,figures/fig3_9_pressure_field.png,大论文初稿\figures\fig3_9_pressure_field.png,True,论文figures目录,大论文初稿\figures\fig3_9_pressure_field.png
图,3-7,图3-7 各参数对Nu的分箱均值响应趋势,figures/fig3_10_nu_response.svg,大论文初稿\figures\fig3_10_nu_response.svg,True,论文figures目录,大论文初稿\figures\fig3_10_nu_response.svg
图,3-8,图3-8 各参数对f的分箱均值响应趋势,figures/fig3_11_f_response.svg,大论文初稿\figures\fig3_11_f_response.svg,True,论文figures目录,大论文初稿\figures\fig3_11_f_response.svg
图,3-9,图3-9 各参数对η的分箱均值响应趋势,figures/fig3_12_eta_response.svg,大论文初稿\figures\fig3_12_eta_response.svg,True,论文figures目录,大论文初稿\figures\fig3_12_eta_response.svg
图,3-10,图3-10 随机森林参数重要性排序,figures/fig3_13_parameter_importance.svg,大论文初稿\figures\fig3_13_parameter_importance.svg,True,论文figures目录,大论文初稿\figures\fig3_13_parameter_importance.svg
图,4-1,图4-1 七参数几何掩码PI-CNN-CBAM代理模型架构图,figures/fig4_1_7param_picnn_cbam_architecture.svg,大论文初稿\figures\fig4_1_7param_picnn_cbam_architecture.svg,True,论文figures目录,大论文初稿\figures\fig4_1_7param_picnn_cbam_architecture.svg
图,4-2,图4-2 PI-CNN-CBAM几何掩码代理模型训练损失曲线,../七参数_几何掩码代理优化/ablation_results/pi_cnn_cbam/loss_curve.png,七参数_几何掩码代理优化\ablation_results\pi_cnn_cbam\loss_curve.png,False,未知来源,七参数_几何掩码代理优化\ablation_results\pi_cnn_cbam\loss_curve.png
图,4-3,图4-3 七参数几何掩码代理模型消融实验指标对比,../七参数_几何掩码代理优化/ablation_results/ablation_bar.png,七参数_几何掩码代理优化\ablation_results\ablation_bar.png,False,未知来源,七参数_几何掩码代理优化\ablation_results\ablation_bar.png
图,4-4,图4-4 PI-CNN-CBAM模型测试集预测散点图,../七参数_几何掩码代理优化/ablation_results/pi_cnn_cbam/prediction_scatter.png,七参数_几何掩码代理优化\ablation_results\pi_cnn_cbam\prediction_scatter.png,False,未知来源,七参数_几何掩码代理优化\ablation_results\pi_cnn_cbam\prediction_scatter.png
图,5-1,图5-1 差分进化优化收敛曲线,../七参数_几何掩码代理优化/optimization_results_pi_cbam/de_convergence.png,七参数_几何掩码代理优化\optimization_results_pi_cbam\de_convergence.png,False,未知来源,七参数_几何掩码代理优化\optimization_results_pi_cbam\de_convergence.png
图,5-2,图5-2 优化结构速度场云图,../七参数_几何掩码代理优化/validation_results_pi_cbam/comsol/case_1/cfd_solution/velocity_magnitude.png,七参数_几何掩码代理优化\validation_results_pi_cbam\comsol\case_1\cfd_solution\velocity_magnitude.png,False,未知来源,七参数_几何掩码代理优化\validation_results_pi_cbam\comsol\case_1\cfd_solution\velocity_magnitude.png
图,5-3,图5-3 优化结构温度场云图,../七参数_几何掩码代理优化/validation_results_pi_cbam/comsol/case_1/cfd_solution/temperature.png,七参数_几何掩码代理优化\validation_results_pi_cbam\comsol\case_1\cfd_solution\temperature.png,False,未知来源,七参数_几何掩码代理优化\validation_results_pi_cbam\comsol\case_1\cfd_solution\temperature.png
图,5-4,图5-4 优化结构压力场云图,../七参数_几何掩码代理优化/validation_results_pi_cbam/comsol/case_1/cfd_solution/pressure.png,七参数_几何掩码代理优化\validation_results_pi_cbam\comsol\case_1\cfd_solution\pressure.png,False,未知来源,七参数_几何掩码代理优化\validation_results_pi_cbam\comsol\case_1\cfd_solution\pressure.png
图,6-1,图6-1 七参数三维电子芯片散热代表性模型外观图,../comsol_3d_airfoil_radiator/generated_7param_chip_heat_sink/pi_cbam_best/exports/pi_cbam_best_appearance.png,comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\pi_cbam_best\exports\pi_cbam_best_appearance.png,True,七参数三维COMSOL结果,comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\pi_cbam_best\exports\pi_cbam_best_appearance.png
图,6-2,图6-2 七参数三维模型网格划分图,../comsol_3d_airfoil_radiator/generated_7param_chip_heat_sink/pi_cbam_best/exports/pi_cbam_best_mesh.png,comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\pi_cbam_best\exports\pi_cbam_best_mesh.png,True,七参数三维COMSOL结果,comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\pi_cbam_best\exports\pi_cbam_best_mesh.png
图,6-3,图6-3 七参数三维模型速度场云图,../comsol_3d_airfoil_radiator/generated_7param_chip_heat_sink/pi_cbam_best/exports/pi_cbam_best_velocity.png,comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\pi_cbam_best\exports\pi_cbam_best_velocity.png,True,七参数三维COMSOL结果,comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\pi_cbam_best\exports\pi_cbam_best_velocity.png
图,6-4,图6-4 七参数三维模型温度场云图,../comsol_3d_airfoil_radiator/generated_7param_chip_heat_sink/pi_cbam_best/exports/pi_cbam_best_temperature.png,comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\pi_cbam_best\exports\pi_cbam_best_temperature.png,True,七参数三维COMSOL结果,comsol_3d_airfoil_radiator\generated_7param_chip_heat_sink\pi_cbam_best\exports\pi_cbam_best_temperature.png
表,3-1,表3-1 材料物性参数,,,True,论文表格,论文正文给定材料物性；用于COMSOL模型设置说明
表,3-2,表3-2 随机森林特征重要性排序,,,True,论文表格,大论文初稿/figures/fig3_13_parameter_importance.csv
表,4-1,表4-1 七参数几何掩码代理模型训练配置,,,True,论文表格,七参数_几何掩码代理优化/09_消融实验_PI_CNN_CBAM.py
表,4-2,表4-2 七参数几何掩码代理模型消融实验结果,,,True,论文表格,七参数_几何掩码代理优化/ablation_results_1000/ablation_summary.csv
表,4-3,表4-3 七参数PI-CNN-CBAM模型5折交叉验证结果,,,True,论文表格,七参数_几何掩码代理优化/kfold_results_1000/kfold_summary.json
表,4-4,表4-4 非零$\theta_g$轻量重训评估结果,,,True,论文表格,七参数_几何掩码代理优化/samples/labels_7param_theta500_v2.csv；七参数_几何掩码代理优化/samples/labels_7param_1000.csv
表,5-1,表5-1 优化变量及其约束条件,,,True,论文表格,七参数_几何掩码代理优化/common.py；七参数_几何掩码代理优化/11_差分进化优化_PI_CNN_CBAM七参数.py
表,5-2,表5-2 差分进化算法参数配置,,,True,论文表格,七参数_几何掩码代理优化/11_差分进化优化_PI_CNN_CBAM七参数.py
表,5-3,表5-3 差分进化优化运行记录,,,True,论文表格,七参数_几何掩码代理优化/optimization_results_1000_gp/best_params.json
表,5-4,表5-4 基准结构与优化结构的几何参数对比,,,True,论文表格,七参数_几何掩码代理优化/optimization_results_1000_gp/best_params.json；七参数_几何掩码代理优化/samples/labels_7param_1000.csv
表,5-5,表5-5 优化前后流热性能综合对比,,,True,论文表格,七参数_几何掩码代理优化/validation_results_1000_gp/final_validation_report.json
表,6-1,表6-1 三维模型边界条件设置,,,True,论文表格,comsol_3d_airfoil_radiator/generated_7param_chip_heat_sink/pi_cbam_best/pi_cbam_best_realistic_build_notes.json
表,6-2,表6-2 三维CHT模型流热性能对比,,,True,论文表格,comsol_3d_airfoil_radiator/generated_7param_chip_heat_sink/results/seven_param_3d_summary.csv
